Season,Name,Team,IP,HR/FB,NameASCII,PlayerId,MLBAMID
2002,"Dennys Reyes","TEX",23.1,0.24137931,"Dennys Reyes",444,121096
2002,"Dan Reichert","KCR",34.2,0.24137931,"Dan Reichert",624,150209
2015,"Allen Webster","ARI",24,0.24137931,"Allen Webster",3993,543903
2021,"Adrian Sampson","CHC",24,0.24137931,"Adrian Sampson",13339,592716
2023,"Hayden Wesneski","CHC",49,0.24137931,"Hayden Wesneski",27581,669713
2003,"Nick Bierbrodt","TBD",15.1,0.24,"Nick Bierbrodt",1194,150149
2020,"Trevor Richards","TBR",16.2,0.24,"Trevor Richards",19309,670950
2009,"Brett Myers","PHI",63.2,0.23943662,"Brett Myers",962,408206
2021,"Touki Toussaint","ATL",49,0.23913043,"Touki Toussaint",16929,657053
2019,"Dallas Keuchel","ATL",112.2,0.23880597,"Dallas Keuchel",9434,572971
2003,"Ramiro Mendoza","BOS",24.1,0.23809524,"Ramiro Mendoza",836,118947
2013,"Chien-Ming Wang","TOR",27,0.23809524,"Chien-Ming Wang",2074,425426
2016,"José De León","LAD",17,0.23809524,"Jose De Leon",15463,592254
2017,"Mat Latos","TOR",15,0.23809524,"Mat Latos",3815,502009
2017,"Tommy Milone","- - -",35,0.23809524,"Tommy Milone",7608,543548
2021,"Justin Steele","CHC",43.2,0.23809524,"Justin Steele",17312,657006
2019,"Jeff Hoffman","COL",70,0.23595506,"Jeff Hoffman",17432,656546
2002,"Todd Stottlemyre","ARI",19.1,0.23529412,"Todd Stottlemyre",75,122840
2003,"Brian Moehler","HOU",13.2,0.23529412,"Brian Moehler",480,119215
2003,"Nelson Figueroa","PIT",16,0.23529412,"Nelson Figueroa",683,150153
2007,"Victor Santos","BAL",12,0.23529412,"Victor Santos",446,276343
2009,"Charlie Haeger","LAD",16.1,0.23529412,"Charlie Haeger",3545,446624
2009,"Kevin Mulvey","ARI",20,0.23529412,"Kevin Mulvey",6947,453381
2010,"Adam Ottavino","STL",14.1,0.23529412,"Adam Ottavino",1247,493603
2012,"Roberto Hernandez","CLE",14.1,0.23529412,"Roberto Hernandez",3273,433584
2013,"Brian Flynn","MIA",18,0.23529412,"Brian Flynn",12027,543169
2017,"Hector Velázquez","BOS",14.1,0.23529412,"Hector Velazquez",19341,584171
2019,"Heath Fillmyer","KCR",12,0.23529412,"Heath Fillmyer",17466,641571
2019,"Kyle Wright","ATL",16.2,0.23529412,"Kyle Wright",19665,657140
2019,"James Marvel","PIT",17.1,0.23529412,"James Marvel",19675,621086
2020,"Jake Odorizzi","MIN",13.2,0.23529412,"Jake Odorizzi",6397,543606
2021,"Adbert Alzolay","CHC",106.1,0.23529412,"Adbert Alzolay",17859,640470
2016,"Jonathon Niese","- - -",106.2,0.23404255,"Jonathon Niese",4424,477003
2020,"Tyler Glasnow","TBR",57.1,0.23404255,"Tyler Glasnow",14374,607192
2021,"Kris Bubic","KCR",103.2,0.23404255,"Kris Bubic",21455,663460
2023,"Jake Woodford","STL",32,0.23333333,"Jake Woodford",18674,663765
2019,"David Hess","BAL",67.2,0.23300971,"David Hess",16130,605276
2021,"Jake Arrieta","- - -",98.2,0.23300971,"Jake Arrieta",4153,453562
2003,"Ben Howard","SDP",34.2,0.23255814,"Ben Howard",1452,407806
2014,"CC Sabathia","NYY",46,0.23255814,"CC Sabathia",404,282332
2006,"Scott Downs","TOR",15.1,0.23076923,"Scott Downs",773,275933
2006,"Ryan Feierabend","SEA",11,0.23076923,"Ryan Feierabend",6336,456387
2008,"Garrett Mock","WSN",15,0.23076923,"Garrett Mock",7335,452241
2011,"Everett Teaford","KCR",16,0.23076923,"Everett Teaford",3732,501870
2014,"Felipe Paulino","CHW",18.1,0.23076923,"Felipe Paulino",3777,462956
2014,"Nate Karns","TBR",12,0.23076923,"Nate Karns",12638,501992
2015,"Homer Bailey","CIN",11.1,0.23076923,"Homer Bailey",8362,456701
2016,"Rafael Montero","NYM",11,0.23076923,"Rafael Montero",12760,606160
2017,"Nick Tepesch","- - -",15.2,0.23076923,"Nick Tepesch",11716,519344
2018,"Burch Smith","KCR",22.1,0.23076923,"Burch Smith",12784,572143
2018,"Odrisamer Despaigne","- - -",18,0.23076923,"Odrisamer Despaigne",16017,628333
2019,"Johnny Cueto","SFG",16,0.23076923,"Johnny Cueto",6893,456501
2019,"Erik Swanson","SEA",33.1,0.23076923,"Erik Swanson",16587,657024
2020,"Jack Flaherty","STL",40.1,0.23076923,"Jack Flaherty",17479,656427
2021,"Shane Baz","TBR",13.1,0.23076923,"Shane Baz",22264,669358
2021,"Randy Dobnak","MIN",34.1,0.23076923,"Randy Dobnak",23798,677976
2022,"Cristopher Sánchez","PHI",13.1,0.23076923,"Cristopher Sanchez",20778,650911
2023,"Ryan Walker","SFG",19.1,0.23076923,"Ryan Walker",20423,676254
2018,"Erasmo Ramírez","SEA",45.2,0.2295082,"Erasmo Ramirez",10314,541640
2003,"Nelson Cruz","COL",36.1,0.22916667,"Nelson Cruz",554,112906
2009,"Tomo Ohka","CLE",32.2,0.22916667,"Tomo Ohka",788,219594
2016,"Tim Lincecum","LAA",38.1,0.22916667,"Tim Lincecum",5705,453311
2016,"Luis Severino","NYY",47.2,0.22916667,"Luis Severino",15890,622663
2019,"Manny Bañuelos","CHW",34.2,0.22916667,"Manny Banuelos",5365,544365
2022,"Justin Dunn","CIN",31,0.22916667,"Justin Dunn",19268,643290
2020,"Chad Kuhl","PIT",41.1,0.22857143,"Chad Kuhl",14975,641771
2023,"David Peterson","NYM",96,0.22857143,"David Peterson",20302,656849
2023,"Johnny Cueto","MIA",42,0.22807018,"Johnny Cueto",6893,456501
2018,"Josh Tomlin","CLE",42.2,0.2278481,"Josh Tomlin",9388,458708
2019,"Yu Darvish","CHC",178.2,0.22758621,"Yu Darvish",13074,506433
2005,"Scott Erickson","LAD",38.2,0.22727273,"Scott Erickson",137,113884
2005,"Elizardo Ramirez","CIN",19.1,0.22727273,"Elizardo Ramirez",1946,430579
2007,"Daniel Barone","FLA",25.1,0.22727273,"Daniel Barone",7652,458524
2017,"Lisalverto Bonilla","CIN",20.2,0.22727273,"Lisalverto Bonilla",11266,570810
2020,"Nate Pearson","TOR",16.1,0.22727273,"Nate Pearson",20160,663878
2021,"Logan Allen","CLE",44.1,0.22641509,"Logan Allen",18555,663531
2003,"Kris Wilson","KCR",21.1,0.22580645,"Kris Wilson",636,330892
2003,"Robert Ellis","TEX",18.1,0.22580645,"Robert Ellis",649,113819
2019,"Tyson Ross","DET",35.1,0.22580645,"Tyson Ross",7872,475115
2020,"Casey Mize","DET",28.1,0.22580645,"Casey Mize",20492,663554
2021,"Patrick Corbin","WSN",171.2,0.22560976,"Patrick Corbin",9323,571578
2017,"Dylan Covey","CHW",58.2,0.22535211,"Dylan Covey",14825,592229
2019,"Nick Pivetta","PHI",69,0.22535211,"Nick Pivetta",15454,601713
2010,"Anthony Lerew","KCR",26.1,0.225,"Anthony Lerew",3440,434679
2016,"Luis Perdomo","SDP",117,0.225,"Luis Perdomo",14682,606131
2017,"Michael Pineda","NYY",96.1,0.2247191,"Michael Pineda",5372,501381
2016,"Dillon Overton","OAK",21.1,0.2244898,"Dillon Overton",15627,592614
2021,"David Peterson","NYM",66.2,0.2244898,"David Peterson",20302,656849
2023,"Ronel Blanco","HOU",38,0.2244898,"Ronel Blanco",19407,669854
2019,"Matt Harvey","LAA",59.2,0.22413793,"Matt Harvey",11713,518774
2021,"JT Brubaker","PIT",124.1,0.224,"JT Brubaker",17578,664141
2011,"Alex White","- - -",51.1,0.2238806,"Alex White",10054,502229
2017,"Félix Hernández","SEA",86.2,0.22368421,"Felix Hernandez",4772,433587
2017,"Tyler Chatwood","COL",136.1,0.22352941,"Tyler Chatwood",4338,543022
2022,"Yusei Kikuchi","TOR",82.1,0.22352941,"Yusei Kikuchi",20633,579328
2003,"Carlos Reyes","TBD",16.2,0.22222222,"Carlos Reyes",1721,121095
2006,"Jason Shiell","ATL",12,0.22222222,"Jason Shiell",1625,425126
2006,"Hayden Penn","BAL",19.2,0.22222222,"Hayden Penn",4893,435140
2006,"Devern Hansack","BOS",10,0.22222222,"Devern Hansack",4939,468962
2007,"John Rheinecker","TEX",37.2,0.22222222,"John Rheinecker",2165,425850
2009,"Anthony Ortega","LAA",12.2,0.22222222,"Anthony Ortega",6745,471162
2010,"Jordan Zimmermann","WSN",31,0.22222222,"Jordan Zimmermann",4505,519455
2014,"Kris Johnson","MIN",13.1,0.22222222,"Kris Johnson",886,453241
2014,"Tyler Chatwood","COL",24,0.22222222,"Tyler Chatwood",4338,543022
2016,"Joe Kelly","BOS",22.1,0.22222222,"Joe Kelly",9761,523260
2016,"Drew Hutchison","- - -",15.2,0.22222222,"Drew Hutchison",10732,571800
2016,"Germán Márquez","COL",15.1,0.22222222,"German Marquez",15038,608566
2016,"Lucas Giolito","WSN",16,0.22222222,"Lucas Giolito",15474,608337
2018,"Miguel González","CHW",12.1,0.22222222,"Miguel Gonzalez",7024,456068
2018,"Erick Fedde","WSN",50.1,0.22222222,"Erick Fedde",17425,607200
2019,"Hector Noesí","MIA",18.1,0.22222222,"Hector Noesi",3292,456051
2019,"Rich Hill","LAD",58.2,0.22222222,"Rich Hill",4806,448179
2019,"Jerad Eickhoff","PHI",53.1,0.22222222,"Jerad Eickhoff",12664,595191
2019,"Ty Blach","BAL",20.2,0.22222222,"Ty Blach",14361,621389
2019,"Patrick Sandoval","LAA",34.1,0.22222222,"Patrick Sandoval",19447,663776
2020,"Alex Cobb","BAL",52.1,0.22222222,"Alex Cobb",6562,502171
2020,"Michael Fulmer","DET",27.2,0.22222222,"Michael Fulmer",13218,605242
2021,"Michael Kopech","CHW",14,0.22222222,"Michael Kopech",17282,656629
2023,"Germán Márquez","COL",20,0.22222222,"German Marquez",15038,608566
2019,"Jorge López","KCR",86.1,0.22105263,"Jorge Lopez",14527,605347
2017,"Ubaldo Jiménez","BAL",125,0.22068966,"Ubaldo Jimenez",3374,434622
2023,"Cristopher Sánchez","PHI",91.1,0.22058824,"Cristopher Sanchez",20778,650911
2020,"Madison Bumgarner","ARI",41.2,0.22033898,"Madison Bumgarner",5524,518516
2020,"Reynaldo López","CHW",26.1,0.2195122,"Reynaldo Lopez",16400,625643
2020,"Jesús Luzardo","OAK",49.1,0.2195122,"Jesus Luzardo",19959,666200
2016,"Mike Bolsinger","LAD",27.2,0.21875,"Mike Bolsinger",11137,502211
2018,"Matt Koch","ARI",77,0.2183908,"Matt Koch",13420,571863
2019,"Mike Montgomery","KCR",64,0.21818182,"Mike Montgomery",4869,543557
2020,"John Means","BAL",43.2,0.21818182,"John Means",16269,607644
2020,"Ryan Castellani","COL",41.1,0.21818182,"Ryan Castellani",16377,624418
2007,"Brett Myers","PHI",15.1,0.2173913,"Brett Myers",962,408206
2012,"Jorge De La Rosa","COL",10.2,0.2173913,"Jorge De La Rosa",2047,407822
2015,"Brandon Finnegan","CIN",21,0.2173913,"Brandon Finnegan",16208,605232
2016,"Alex Cobb","TBR",22,0.2173913,"Alex Cobb",6562,502171
2016,"Eddie Butler","COL",46,0.2173913,"Eddie Butler",13453,572750
2017,"Austin Bibens-Dirkx","TEX",34.1,0.2173913,"Austin Bibens-Dirkx",9559,502212
2017,"Luis Cessa","NYY",21.2,0.2173913,"Luis Cessa",13345,570666
2018,"Brandon McCarthy","ATL",78.2,0.2173913,"Brandon McCarthy",4662,435221
2019,"Gabriel Ynoa","BAL",64.1,0.2173913,"Gabriel Ynoa",12938,593679
2019,"Kyle Freeland","COL",104.1,0.2173913,"Kyle Freeland",16256,607536
2003,"Jimmy Anderson","CIN",37.2,0.21621622,"Jimmy Anderson",977,150247
2019,"Jaime Barria","LAA",60.1,0.21590909,"Jaime Barria",18356,642545
2017,"Mark Leiter Jr.","PHI",60.2,0.21538462,"Mark Leiter Jr.",15551,643410
2002,"Dewon Brazelton","TBD",13,0.21428571,"Dewon Brazelton",1195,407376
2003,"Salomon Torres","PIT",81.2,0.21428571,"Salomon Torres",1628,123415
2004,"Jimmy Haynes","CIN",13.1,0.21428571,"Jimmy Haynes",329,115649
2005,"Roman Colon","- - -",33,0.21428571,"Roman Colon",2242,430638
2005,"Francisco Liriano","MIN",21.2,0.21428571,"Francisco Liriano",3201,434538
2014,"Andrew Heaney","MIA",24.2,0.21428571,"Andrew Heaney",15423,571760
2017,"Scott Feldman","CIN",111.1,0.21428571,"Scott Feldman",6283,444857
2017,"Rookie Davis","CIN",22,0.21428571,"Rookie Davis",14962,606959
2018,"Ranger Suárez","PHI",12,0.21428571,"Ranger Suarez",17277,624133
2019,"CC Sabathia","NYY",106.1,0.21428571,"CC Sabathia",404,282332
2019,"Wade LeBlanc","SEA",36.2,0.21428571,"Wade LeBlanc",5221,453281
2019,"Collin McHugh","HOU",41,0.21428571,"Collin McHugh",7531,543521
2019,"Drew Pomeranz","- - -",75.1,0.21428571,"Drew Pomeranz",11426,519141
2019,"Pedro Payano","TEX",16,0.21428571,"Pedro Payano",18313,622797
2019,"Dylan Cease","CHW",73,0.21428571,"Dylan Cease",18525,656302
2020,"Chase Anderson","TOR",26.1,0.21428571,"Chase Anderson",6895,502624
2020,"Tejay Antone","CIN",16.1,0.21428571,"Tejay Antone",16233,622088
2021,"Framber Valdez","HOU",134.2,0.21428571,"Framber Valdez",17295,664285
2021,"Hyeon-Jong Yang","TEX",15,0.21428571,"Hyeon-Jong Yang",27513,660365
2019,"Drew Smyly","- - -",98,0.21367521,"Drew Smyly",11760,592767
2020,"Alec Mills","CHC",62.1,0.21311475,"Alec Mills",13834,621219
2009,"Collin Balester","WSN",30.1,0.21276596,"Collin Balester",6883,444446
2012,"Tommy Hunter","BAL",116.2,0.21276596,"Tommy Hunter",1157,488984
2012,"Samuel Deduno","MIN",79,0.21276596,"Samuel Deduno",5285,465679
2013,"Freddy Garcia","- - -",71.2,0.2125,"Freddy Garcia",1077,150119
2017,"Masahiro Tanaka","NYY",178.1,0.21212121,"Masahiro Tanaka",15764,547888
2017,"Daniel Gossett","OAK",91.1,0.21212121,"Daniel Gossett",16164,605254
2020,"Anthony DeSclafani","CIN",29.2,0.21212121,"Anthony DeSclafani",13050,543101
2023,"AJ Smith-Shawver","ATL",19.1,0.21212121,"AJ Smith-Shawver",29960,700363
2019,"Adrian Sampson","TEX",78.2,0.21153846,"Adrian Sampson",13339,592716
2021,"Kohei Arihara","TEX",40.2,0.21153846,"Kohei Arihara",27505,685503
2017,"Dallas Keuchel","HOU",145.2,0.21126761,"Dallas Keuchel",9434,572971
